源节点,关系类型,目标节点,文档说明
主轴系统,包含,主轴,数控机床主轴系统故障诊断手册.docx
进给系统,包含,主轴轴承,数控机床进给系统维护手册.docx
刀库换刀系统,包含,主轴电机,ATC刀库与换刀机构检修指南.docx
液压系统,包含,主轴编码器,液压与润滑系统点检标准.docx
润滑系统,包含,X轴丝杠,伺服驱动调试与报警处理指南.docx
冷却系统,包含,Y轴丝杠,CNC系统与电气故障排查手册.docx
伺服驱动系统,包含,Z轴丝杠,切削工艺异常与质量控制手册.docx
数控系统,包含,X轴导轨,数控机床主轴系统故障诊断手册.docx
电气控制系统,包含,Y轴导轨,数控机床进给系统维护手册.docx
排屑系统,包含,Z轴导轨,ATC刀库与换刀机构检修指南.docx
主轴系统,包含,刀库,液压与润滑系统点检标准.docx
进给系统,包含,机械手,伺服驱动调试与报警处理指南.docx
刀库换刀系统,包含,刀盘,CNC系统与电气故障排查手册.docx
液压系统,包含,换刀电机,切削工艺异常与质量控制手册.docx
润滑系统,包含,液压泵,数控机床主轴系统故障诊断手册.docx
冷却系统,包含,溢流阀,数控机床进给系统维护手册.docx
伺服驱动系统,包含,电磁阀,ATC刀库与换刀机构检修指南.docx
数控系统,包含,液压滤芯,液压与润滑系统点检标准.docx
电气控制系统,包含,润滑泵,伺服驱动调试与报警处理指南.docx
排屑系统,包含,分配器,CNC系统与电气故障排查手册.docx
主轴系统,包含,润滑管路,切削工艺异常与质量控制手册.docx
进给系统,包含,冷却泵,数控机床主轴系统故障诊断手册.docx
刀库换刀系统,包含,冷却液箱,数控机床进给系统维护手册.docx
液压系统,包含,流量开关,ATC刀库与换刀机构检修指南.docx
润滑系统,包含,伺服驱动器,液压与润滑系统点检标准.docx
冷却系统,包含,伺服电机,伺服驱动调试与报警处理指南.docx
伺服驱动系统,包含,编码器反馈线,CNC系统与电气故障排查手册.docx
数控系统,包含,制动电阻,切削工艺异常与质量控制手册.docx
电气控制系统,包含,CNC主板,数控机床主轴系统故障诊断手册.docx
排屑系统,包含,NC参数区,数控机床进给系统维护手册.docx
主轴系统,包含,PMC程序,ATC刀库与换刀机构检修指南.docx
进给系统,包含,I/O模块,液压与润滑系统点检标准.docx
刀库换刀系统,包含,24V电源,伺服驱动调试与报警处理指南.docx
液压系统,包含,主接触器,CNC系统与电气故障排查手册.docx
润滑系统,包含,接地系统,切削工艺异常与质量控制手册.docx
冷却系统,包含,限位开关,数控机床主轴系统故障诊断手册.docx
伺服驱动系统,包含,急停回路,数控机床进给系统维护手册.docx
数控系统,包含,排屑机,ATC刀库与换刀机构检修指南.docx
电气控制系统,包含,链板,液压与润滑系统点检标准.docx
排屑系统,包含,排屑电机,伺服驱动调试与报警处理指南.docx
主轴,表现为,振动过大,数控机床主轴系统故障诊断手册.docx
振动过大,可能原因,轴承磨损,数控机床主轴系统故障诊断手册.docx
轴承磨损,措施是,更换轴承并复测振动,数控机床主轴系统故障诊断手册.docx
主轴,需检查,轴承磨损,数控机床主轴系统故障诊断手册.docx
主轴,表现为,定位误差增大,液压与润滑系统点检标准.docx
定位误差增大,可能原因,冷却液污染,液压与润滑系统点检标准.docx
冷却液污染,措施是,校正联轴器同轴度,液压与润滑系统点检标准.docx
主轴,需检查,冷却液污染,液压与润滑系统点检标准.docx
主轴,表现为,表面粗糙度恶化,切削工艺异常与质量控制手册.docx
表面粗糙度恶化,可能原因,导轨磨损,切削工艺异常与质量控制手册.docx
导轨磨损,措施是,检修液压阀组并清除卡滞,切削工艺异常与质量控制手册.docx
主轴,需检查,导轨磨损,切削工艺异常与质量控制手册.docx
主轴,表现为,液压压力不足,ATC刀库与换刀机构检修指南.docx
液压压力不足,可能原因,编码器信号异常,ATC刀库与换刀机构检修指南.docx
编码器信号异常,措施是,更换轴承并复测振动,ATC刀库与换刀机构检修指南.docx
主轴,需检查,编码器信号异常,ATC刀库与换刀机构检修指南.docx
主轴,表现为,伺服过热报警,CNC系统与电气故障排查手册.docx
伺服过热报警,可能原因,滤芯堵塞,CNC系统与电气故障排查手册.docx
滤芯堵塞,措施是,校正联轴器同轴度,CNC系统与电气故障排查手册.docx
主轴,需检查,滤芯堵塞,CNC系统与电气故障排查手册.docx
主轴,表现为,系统黑屏,数控机床进给系统维护手册.docx
系统黑屏,可能原因,电机过载,数控机床进给系统维护手册.docx
电机过载,措施是,检修液压阀组并清除卡滞,数控机床进给系统维护手册.docx
主轴,需检查,电机过载,数控机床进给系统维护手册.docx
主轴,表现为,排屑机卡滞,伺服驱动调试与报警处理指南.docx
排屑机卡滞,可能原因,电源波动,伺服驱动调试与报警处理指南.docx
电源波动,措施是,更换轴承并复测振动,伺服驱动调试与报警处理指南.docx
主轴,需检查,电源波动,伺服驱动调试与报警处理指南.docx
